Strategy_ID,Net_Profit,Drawdown,Win_Rate,SQN_Score,Ret_DD_Ratio,Category
SYN_0001,4991.28,1835.03,44.35,1.56,2.72,Bad
SYN_0002,3857.29,1714.35,43.38,1.37,2.25,Bad
SYN_0003,5368.48,2056.89,44.48,1.47,2.61,Bad
SYN_0004,12342.91,2448.99,57.91,2.94,5.04,Good
SYN_0005,4191.95,1676.78,38.13,1.29,2.5,Bad
SYN_0006,9081.53,2624.72,57.03,3.09,3.46,Good
SYN_0007,8367.15,2699.08,46.77,2.14,3.1,Medium
SYN_0008,11203.27,2593.35,58.24,2.68,4.32,Good
SYN_0009,4633.95,1868.53,38.9,1.39,2.48,Bad
SYN_0010,12912.14,2961.5,61.11,2.78,4.36,Good
SYN_0011,4467.46,1838.46,43.93,1.64,2.43,Bad
SYN_0012,16701.59,3591.74,57.47,3.04,4.65,Good
SYN_0013,15637.58,3197.87,60.59,3.15,4.89,Good
SYN_0014,4822.15,1806.05,42.36,1.56,2.67,Bad
SYN_0015,2997.32,1254.11,45.62,1.69,2.39,Bad
SYN_0016,8745.78,2587.51,47.65,2.26,3.38,Medium
SYN_0017,4185.85,1766.18,36.76,1.78,2.37,Bad
SYN_0018,13971.23,2928.98,57.96,2.72,4.77,Good
SYN_0019,4396.15,1677.92,43.69,1.25,2.62,Bad
SYN_0020,3981.27,1679.86,45.85,1.34,2.37,Bad
SYN_0021,5282.92,2055.61,43.68,1.82,2.57,Bad
SYN_0022,4851.52,1751.45,39.41,1.57,2.77,Bad
SYN_0023,4086.15,1761.27,43.57,1.56,2.32,Bad
SYN_0024,11070.57,3109.71,62.46,3.49,3.56,Good
SYN_0025,8020.88,2331.65,51.32,2.26,3.44,Medium
SYN_0026,12937.15,2920.35,59.58,3.48,4.43,Good
SYN_0027,5123.36,1876.69,40.36,1.28,2.73,Bad
SYN_0028,13555.79,2946.91,56.89,2.47,4.6,Good
SYN_0029,13691.93,2858.44,60.09,2.31,4.79,Good
SYN_0030,11572.39,2929.72,57.27,2.77,3.95,Good
SYN_0031,12707.92,2582.91,59.99,2.95,4.92,Good
SYN_0032,10048.73,2589.88,59.33,3.0,3.88,Good
SYN_0033,12851.1,2565.09,63.53,3.08,5.01,Good
SYN_0034,7850.08,2557.03,48.48,2.2,3.07,Medium
SYN_0035,12051.6,2420.0,61.85,3.06,4.98,Good
SYN_0036,4181.79,1787.09,41.0,1.66,2.34,Bad
SYN_0037,12905.17,3036.51,59.4,2.56,4.25,Good
SYN_0038,12208.04,3170.92,62.77,3.17,3.85,Good
SYN_0039,12785.04,3156.8,62.65,2.84,4.05,Good
SYN_0040,4478.81,1702.97,41.18,1.46,2.63,Bad
SYN_0041,3858.74,1581.45,42.73,1.85,2.44,Bad
SYN_0042,10822.5,2775.0,61.75,3.31,3.9,Good
SYN_0043,14709.75,3614.19,58.39,3.34,4.07,Good
SYN_0044,3333.41,1488.13,38.44,1.43,2.24,Bad
SYN_0045,4421.68,1556.93,42.09,1.5,2.84,Bad
SYN_0046,14630.34,3394.51,55.37,2.37,4.31,Good
SYN_0047,3767.35,1512.99,41.45,1.59,2.49,Bad
SYN_0048,15310.2,3285.45,54.98,3.39,4.66,Good
SYN_0049,11885.38,2823.13,58.58,3.0,4.21,Good
SYN_0050,3946.88,1610.97,43.3,1.42,2.45,Bad
SYN_0051,5320.42,1797.44,47.24,2.14,2.96,Medium
SYN_0052,4736.63,1774.02,40.5,1.91,2.67,Bad
SYN_0053,12878.1,3285.23,55.9,3.09,3.92,Good
SYN_0054,4894.34,1664.74,43.55,1.26,2.94,Bad
SYN_0055,11453.74,2416.4,65.88,2.75,4.74,Good
SYN_0056,14207.84,3075.29,58.59,3.08,4.62,Good
SYN_0057,14978.93,3626.86,60.19,2.48,4.13,Good
SYN_0058,3472.0,1405.67,44.14,1.69,2.47,Bad
SYN_0059,15228.72,2980.18,57.53,2.97,5.11,Good
SYN_0060,7966.74,2664.46,48.23,2.2,2.99,Medium
SYN_0061,7294.74,2164.61,51.1,2.19,3.37,Medium
SYN_0062,14438.82,3152.58,54.2,3.12,4.58,Good
SYN_0063,11250.6,3328.58,63.31,3.03,3.38,Good
